hjd,mag
7487.11294,14.926
7487.1574,14.913
7488.08806,14.915
7488.13415,14.95
7489.09303,14.939
7489.14726,14.926
7490.09774,14.938
7490.14708,14.9
7491.10608,14.921
7491.15061,14.904
7492.10207,14.906
7492.14677,14.93
7493.09202,14.862
7493.13639,14.916
7494.0828,14.889
7494.12708,14.909
7495.08548,14.943
7495.13623,14.901
7496.07501,14.864
7496.1326,14.862
7497.09162,14.89
7497.13736,14.877
7498.0557,14.909
7498.10104,14.923
7499.0869,14.904
7499.13126,14.921
7500.06804,14.926
7500.11444,14.915
7501.04975,14.959
7501.09466,14.926
7502.06124,14.912
7502.1058,14.913
7503.05623,14.91
7503.10106,14.911
7507.05629,14.916
7507.10709,14.898
7508.06891,14.911
7508.11371,14.912
7509.05978,14.905
7509.11158,14.9
7510.03115,14.934
7510.13703,14.898
7511.04171,14.935
7511.09081,14.841
7512.04972,14.892
7512.09827,14.911
7513.02696,14.898
7513.07516,14.908
7515.01999,14.945
7515.06555,14.938
7516.01573,14.913
7516.06131,14.898
7517.02782,14.884
7517.07156,14.9
7519.09044,14.829
7520.04829,14.928
7520.0933,14.931
7521.04763,14.92
7521.09065,14.879
7523.07568,14.909
7524.03923,14.886
7524.10235,14.865
7525.02259,14.881
7526.01604,14.932
7526.06045,14.928
7527.02071,14.958
7527.07091,14.922
7527.99535,14.925
7528.04042,14.948
7528.99789,14.917
7529.04637,14.904
7529.98702,14.92
7530.04495,14.923
7531.02306,14.887
7531.0707,14.896
7532.00727,14.91
7532.05449,14.902
7535.05369,14.895
7536.02963,14.861
7536.07852,14.879
7537.9952,14.801
7538.08868,14.84
7539.01324,14.784
7539.0569,14.788
7539.96543,14.734
7540.01274,14.736
7540.98945,14.671
7541.04632,14.654
7541.96596,14.584
7542.01245,14.585
7542.06455,14.576
7542.93977,14.522
7542.98833,14.51
7543.04057,14.487
7543.97299,14.354
7544.02232,14.358
7544.06989,14.326
7544.94064,14.282
7544.99022,14.272
7545.03445,14.286
7545.95486,14.092
7546.00402,14.098
7546.06124,14.089
7546.92595,13.941
7546.97278,13.938
7547.01724,13.899
7547.96543,13.756
7548.00943,13.744
7548.05695,13.732
7548.9717,13.63
7549.01662,13.639
7549.96422,13.685
7550.01604,13.689
7550.95122,13.85
7550.99656,13.853
7551.04657,13.863
7554.9621,14.477
7555.00863,14.494
7555.05206,14.482
7555.92297,14.579
7555.96655,14.604
7556.01986,14.782
7558.93543,14.737
7558.98191,14.734
7559.03,14.742
7561.93101,14.85
7561.98038,14.812
7562.02931,14.823
7562.88351,14.854
7562.93214,14.845
7562.97794,14.834
7563.91865,14.864
7563.9626,14.861
7564.91559,14.867
7564.95941,14.872
7565.00978,14.872
7567.98082,14.868
7573.85854,14.933
7573.90926,14.928
7573.95584,14.905
7574.87052,14.92
7574.91766,14.874
7574.96303,14.931
7575.90047,15.037
7575.9563,14.928
7576.8713,14.951
7576.918,14.94
7576.96698,14.918
7577.84707,14.931
7577.89358,14.901
