hjd,mag
7487.10295,14.071
7487.1478,14.067
7488.07849,14.073
7488.12458,14.084
7489.08176,14.048
7489.13724,14.068
7490.0873,14.074
7490.13734,14.075
7491.0965,14.076
7492.13718,14.018
7494.07316,14.061
7494.11771,14.044
7495.07573,14.046
7495.12663,14.037
7497.08206,14.045
7497.12798,14.055
7498.04636,14.038
7498.0917,14.049
7499.07758,14.023
7499.12178,14.055
7500.05841,14.024
7500.10445,14.03
7501.04023,13.933
7502.0963,14.028
7503.04666,14.012
7503.09169,14.014
7507.04669,14.016
7507.09771,14.023
7508.05934,14.006
7508.10413,14.016
7509.0504,14
7509.10221,14.014
7510.02163,14.023
7510.12756,14.016
7511.03213,14.006
7511.08128,14.012
7512.04037,14.012
7512.08886,14.009
7513.01761,14.011
7513.0656,14.019
7515.01047,14.026
7515.05592,14.01
7516.00614,14.03
7516.0519,14.022
7517.01849,14.015
7517.06203,14.023
7520.03806,14.035
7520.08342,14.022
7521.03805,14.032
7521.08124,14.035
7523.05509,14.026
7523.13114,14.013
7524.02958,14.03
7524.09299,14.014
7525.01321,14.01
7526.00669,14.071
7526.05074,14.078
7527.0106,13.939
7527.06152,14.071
7527.98566,14.071
7528.03097,14.085
7528.98854,14.082
7529.03655,14.062
7529.97768,14.071
7530.03477,14.075
7531.0132,14.085
7531.06085,14.076
7531.99792,14.078
7532.04509,14.088
7535.0442,14.104
7538.07902,14.115
7539.00362,14.106
7539.0474,14.114
7539.95487,14.119
7540.00333,14.131
7541.95593,14.084
7542.00252,14.077
7542.05451,14.074
7543.03114,14.078
7543.96361,14.094
7544.01291,14.071
7544.06032,14.083
7544.93126,14.077
7545.02478,14.085
7545.94542,14.098
7545.99453,14.104
7546.05125,14.083
7546.91657,14.105
7547.00784,14.099
7547.95604,14.105
7548.00003,14.108
7548.04676,14.115
7548.96229,14.116
7549.00698,14.095
7549.95183,14.113
7550.00649,14.106
7550.05142,14.11
7550.94187,14.132
7550.98709,14.102
7551.03659,14.086
7554.99926,14.119
7555.0427,14.113
7555.91331,14.141
7555.95676,14.131
7556.00892,14.143
7558.926,14.16
7558.97255,14.147
7559.02042,14.141
7561.92111,14.168
7561.97102,14.128
7562.01983,14.046
7562.87415,14.153
7562.96794,14.142
7563.90933,14.149
7563.95299,14.143
7564.90608,14.131
7564.94988,14.133
7565.00003,14.128
7567.96271,14.136
7573.84926,14.157
7573.89921,14.156
7573.94657,14.157
7574.8584,14.025
7574.90829,14.15
7574.95348,14.166
7575.89039,14.185
7575.94696,14.179
7576.86169,14.168
7576.90861,14.17
7577.83774,14.163
7577.93113,14.171
