hjd,mag
7487.10717,14.858
7487.15181,14.877
7488.08254,14.899
7488.12863,14.914
7489.08598,14.883
7489.14144,14.88
7490.09149,14.904
7490.1414,14.918
7491.10048,14.915
7491.14504,14.946
7492.09653,14.987
7492.1412,15.02
7493.08633,15.081
7493.13091,14.976
7494.07718,14.9
7494.1217,14.881
7495.07973,14.898
7495.13064,14.861
7496.06901,15.394
7496.12724,15.073
7497.08603,15.041
7497.13199,15
7498.05037,14.948
7498.0957,14.877
7499.08156,15.168
7499.12588,14.997
7500.06241,14.914
7500.10845,14.905
7501.04421,14.949
7501.08933,14.908
7502.05583,15.046
7502.10041,14.938
7503.05066,14.97
7503.09571,14.885
7507.05066,14.911
7507.10171,14.885
7508.06359,14.946
7508.10814,14.924
7509.05443,14.877
7509.10623,14.86
7510.02561,14.916
7510.13165,14.883
7511.03612,14.928
7511.08529,14.971
7512.04437,14.886
7512.0929,14.916
7513.02161,14.903
7513.06963,14.89
7515.01448,14.884
7515.05995,14.856
7516.01013,14.942
7516.05593,14.833
7517.02248,14.881
7517.06603,14.927
7519.03653,15.314
7519.08508,15.056
7520.04213,14.858
7520.08744,14.853
7521.04206,14.874
7521.08526,14.804
7523.07007,14.845
7524.03388,14.839
7524.097,14.875
7525.01725,14.955
7526.01069,14.877
7526.05507,14.88
7527.01483,14.777
7527.06554,14.833
7527.98966,14.918
7528.03499,14.854
7528.99253,14.821
7529.04102,14.844
7529.98168,14.893
7530.03936,14.86
7531.01719,14.821
7531.06487,14.823
7532.00193,14.826
7532.04909,14.813
7535.04821,14.787
7536.02421,14.802
7536.07289,14.786
7537.98966,14.765
7538.08334,14.712
7539.00763,14.69
7539.05139,14.722
7539.95885,14.74
7540.00736,14.779
7540.98408,14.685
7541.04063,14.688
7541.96061,14.615
7542.00654,14.629
7542.05868,14.599
7542.93393,14.669
7542.98228,14.674
7543.03519,14.638
7543.96763,14.624
7544.01694,14.614
7544.06442,14.634
7544.93527,14.575
7544.98484,14.535
7545.02907,15.047
7545.94949,14.522
7545.99862,14.477
7546.05565,14.468
7546.9206,14.477
7546.96742,14.493
7547.01188,14.471
7547.96005,14.412
7548.00406,14.311
7548.05157,14.412
7548.96633,14.375
7549.01102,14.377
7549.95885,14.324
7550.01068,14.306
7550.05542,14.351
7550.94586,14.278
7550.99111,14.277
7551.0412,14.266
7554.95675,14.017
7555.00328,14.02
7555.04669,14.019
7555.9173,13.935
7555.96079,13.906
7556.01295,14.038
7558.93009,13.676
7558.97656,13.687
7559.02442,13.72
7561.92513,13.595
7561.97504,13.575
7562.02382,13.595
7562.87817,13.636
7562.9265,13.622
7562.97234,13.627
7563.91331,13.697
7563.95724,13.697
7564.91008,13.754
7564.95388,13.73
7565.00423,13.765
7567.96775,14.033
7573.85324,14.387
7573.90386,14.367
7573.95056,14.405
7574.86521,14.456
7574.9123,14.465
7574.95768,14.461
7575.89438,14.482
7575.95094,14.456
7576.8657,14.513
7576.91263,14.509
7576.96146,14.527
7577.84173,14.549
7577.88824,14.563
7577.93515,14.624
