hjd,mag
7487.11294,14.897
7487.1574,14.892
7488.08806,14.878
7488.13415,14.914
7489.09303,14.891
7489.14726,14.878
7490.09774,14.858
7490.14708,14.869
7491.10608,14.869
7491.15061,14.881
7492.10207,14.838
7492.14677,14.893
7493.09202,14.815
7493.13639,14.842
7494.0828,14.758
7494.12708,14.771
7495.08548,14.727
7495.13623,14.723
7496.07501,14.729
7496.1326,14.771
7497.09162,14.665
7497.13736,14.675
7498.0557,14.578
7498.10104,14.575
7499.0869,14.479
7499.13126,14.486
7500.06804,14.364
7500.11444,14.395
7501.04975,14.24
7501.09466,14.255
7502.06124,14.104
7502.1058,14.115
7503.05623,14.089
7503.10106,14.075
7507.05629,14.54
7507.10709,14.53
7508.06891,14.635
7508.11371,14.631
7509.05978,14.711
7509.11158,14.677
7510.03115,14.722
7510.13703,14.758
7511.04171,14.785
7511.09081,14.723
7512.04972,14.801
7512.09827,14.813
7513.02696,14.816
7513.07516,14.798
7515.01999,14.895
7515.06555,14.887
7516.01573,14.884
7516.06131,14.858
7517.02782,14.872
7517.07156,14.924
7519.04187,14.972
7519.09044,14.93
7520.04829,14.926
7520.0933,14.935
7521.04763,14.911
7521.09065,14.922
7523.07568,14.91
7524.03923,14.912
7524.10235,14.967
7525.02259,14.952
7526.01604,14.89
7526.06045,14.94
7527.02071,14.902
7527.07091,14.881
7527.99535,14.971
7528.04042,14.931
7528.99789,14.881
7529.04637,14.877
7529.98702,14.964
7530.04495,14.922
7531.02306,14.918
7531.0707,14.931
7532.00727,14.905
7532.05449,14.891
7535.05369,14.918
7536.02963,14.942
7536.07852,14.939
7537.9952,14.938
7538.08868,14.95
7539.01324,14.941
7539.0569,14.929
7539.96543,14.929
7540.01274,14.953
7540.98945,14.946
7541.04632,14.96
7541.96596,14.931
7542.01245,14.914
7542.06455,14.932
7542.93977,14.949
7542.98833,14.916
7543.04057,14.939
7543.97299,14.914
7544.02232,14.938
7544.06989,14.836
7544.94064,14.967
7544.99022,14.957
7545.03445,15.015
7545.95486,14.939
7546.00402,14.94
7546.06124,14.935
7546.92595,14.93
7546.97278,14.911
7547.01724,14.96
7547.96543,14.923
7548.00943,14.93
7548.05695,14.917
7548.9717,14.888
7549.01662,14.927
7549.96422,14.914
7550.01604,14.933
7550.95122,14.921
7550.99656,14.913
7551.04657,14.922
7554.9621,14.925
7555.00863,14.944
7555.05206,14.965
7555.92297,14.926
7555.96655,14.95
7556.01986,14.918
7558.93543,14.921
7558.98191,14.95
7559.03,14.938
7561.93101,14.904
7561.98038,14.934
7562.02931,15.024
7562.88351,14.919
7562.93214,14.946
7562.97794,14.93
7563.91865,14.928
7563.9626,14.958
7564.91559,14.908
7564.95941,14.974
7565.00978,14.944
7567.98082,14.967
7573.85854,14.956
7573.90926,14.943
7573.95584,14.933
7574.87052,14.952
7574.91766,14.926
7574.96303,14.973
7575.90047,14.821
7575.9563,14.933
7576.8713,14.948
7576.918,14.923
7576.96698,14.917
7577.84707,14.914
7577.89358,14.921
