hjd,mag
7487.10295,14.99
7487.1478,14.984
7488.07849,14.983
7488.12458,14.991
7489.08176,14.948
7489.13724,14.954
7490.0873,14.951
7490.13734,14.95
7491.0965,14.924
7491.14102,14.946
7492.09253,14.91
7492.13718,14.875
7493.08235,14.89
7493.12689,14.937
7494.07316,14.867
7494.11771,14.862
7495.07573,14.854
7495.12663,14.851
7496.06502,14.884
7496.12323,14.863
7497.08206,14.906
7497.12798,14.868
7498.04636,14.854
7498.0917,14.843
7499.07758,14.893
7499.12178,14.904
7500.05841,14.848
7500.10445,14.848
7501.04023,14.874
7501.08534,14.901
7502.05183,14.898
7502.0963,14.917
7503.04666,14.953
7503.09169,14.925
7507.04669,14.954
7507.09771,14.988
7508.05934,14.991
7508.10413,15.004
7509.0504,15.001
7509.10221,14.998
7510.02163,15.009
7510.12756,14.986
7511.03213,14.995
7511.08128,15.031
7512.04037,14.982
7512.08886,15.025
7513.01761,14.976
7513.0656,14.962
7515.01047,14.992
7515.05592,14.982
7516.00614,14.994
7516.0519,14.953
7517.01849,14.983
7517.06203,14.977
7519.03254,15.085
7519.081,15.05
7520.03806,15.042
7520.08342,15.039
7521.03805,15.056
7521.08124,15.016
7523.05509,15.044
7523.13114,14.982
7524.02958,15.038
7524.09299,15.032
7525.01321,15.112
7526.00669,15.096
7526.05074,15.079
7527.0106,15.091
7527.06152,15.081
7527.98566,15.083
7528.03097,15.075
7528.98854,15.06
7529.03655,15.05
7529.97768,15.064
7530.03477,15.084
7531.0132,15.078
7531.06085,15.082
7531.99792,15.085
7532.04509,15.069
7535.0442,15.077
7536.02019,15.126
7536.06865,15.12
7537.98566,15.141
7538.07902,15.112
7539.00362,15.111
7539.0474,15.121
7539.95487,15.153
7540.00333,15.16
7540.98008,15.098
7541.03321,15.092
7541.95593,15.071
7542.00252,15.08
7542.05451,15.052
7542.92991,15.103
7542.97799,15.105
7543.03114,15.083
7543.96361,15.095
7544.01291,15.08
7544.06032,15.073
7544.93126,15.094
7544.98082,15.094
7545.02478,15.136
7545.94542,15.083
7545.99453,15.081
7546.05125,15.08
7546.91657,15.075
7546.96332,15.107
7547.00784,15.073
7547.95604,15.059
7548.00003,15.046
7548.04676,15.043
7548.96229,15.067
7549.00698,15.077
7549.95183,15.04
7550.00649,15.067
7550.05142,15.036
7550.94187,15.042
7550.98709,15.033
7551.03659,15.02
7554.95187,15.077
7554.99926,15.041
7555.0427,15.047
7555.91331,15.064
7555.95676,15.007
7556.00892,15.095
7558.926,15.047
7558.97255,15.054
7559.02042,15.082
7561.92111,15.094
7561.97102,15.044
7562.01983,15.101
7562.87415,15.076
7562.92249,15.087
7562.96794,15.087
7563.90933,15.061
7563.95299,15.065
7564.90608,15.07
7564.94988,15.042
7565.00003,15.057
7567.96271,15.032
7573.84926,15.026
7573.89921,15.052
7573.94657,15.044
7574.8584,14.845
7574.90829,15.039
7574.95348,15.032
7575.89039,15.022
7575.94696,15.049
7576.86169,15.026
7576.90861,15.061
7576.95743,14.985
7577.83774,15.045
7577.88425,15.078
7577.93113,15.099
